Lot Nr.;S16-FC.Sampl.FillingSize (mL);S16-FC.ProducedAmt (EA);S16-FC.ReceivedQty_1 (GM);S16-FC.ReceivedQty_2 (GM);S16-FC.ReceivedQty_Sum (GM);S16-Bulk storage duration_1 (d);S16-Bulk storage duration_2 (d);S16-FC.Sampl.DissolutionTime (min);S16-FC.Sampl.Osmolality (mOsmol/kg);S16-FC.Sampl.pH;S16-FC.Sampl.FII (IU/100 IU FIX);S16-FC.Sampl.FII (IU/mL);S16-FC.Sampl.FVII (IU/100 IU FIX);S16-FC.Sampl.FIXClottingAssay (IU/ml);S16-FC.Sampl.NAPTTRatio;S16-FC.Sampl.ResidualMoisture (%);S16-FC.Sampl.SodiumChloride (mg/ml);S16-FC.Sampl.SodiumCitrate (mg/ml);S 16 Protein [mg/ml];S16 Density [g/mL];FX aus Lims (IU/ml);Grouping1 - Identified_ChangePoints;Grouping2 - PR2583066;Grouping3 - SpecialLots;S15 Ansatzlinie;S15 Abfüllanlage;S15 Gefriertrockner;S15 - Lotsize (g) bzw. theoret. Lotsize (g);S13.Ansatzlinie PA0001 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0001 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0002 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0002 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0015 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0015 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0016 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0016 - Stirring Speed 150rpm Duration (min);S13.Ansatzlinie PA0017 - Stirring Speed 110rpm Duration (min);S13.Ansatzlinie PA0017 - Stirring Speed 150rpm Duration (min);S14 Filter 1012613;S14 Filter 1019217;S14 Filter 1024279;S14 Filter 1030721;S14 Filter 1031277;S14 Filter 1032679;S14 Filter 1032680;S14 Filter 1046906;S14 Filter 1048615;S14 Filter 1048616;S14 Filter 1051534;S14 Filter 1052502;S14 Filter 1059913;S14 Filter 1065593;S14 Filter 1065594;S14 Filter 1078741;S14 Filter 1081112;S14 Filter 1087049;S14 Filter 1087050;S14 Filter 1087052;S14 Filter 1087053;S14 Filter 1094988;S14 Filter 1094989;S14 Filter 1102978;S14 Filter 1107365;S14 Filter 1109643;S14 Filter 1114076;S14 Filter 1119434;S14 Filter 1119436;S14 Filter 1119437;S14 Filter 1121461;S14 Filter 1125476;S14 Filter 1129766;S14 Filter 1138329;S14 Filter 1141103;S14 Filter 1142255;S14 Filter 1145524;S14 Filter 1148856;S14 Filter 1153062;S14 Filter 1160029;S14 Filter 1160390;S14 Filter 1160743;S14 Filter 1160744;S14 Filter 1164478;S14 Filter 1168562;S14 Filter 1168563;S14 Filter 1170862;S14 Filter 1177379;S14 Filter 1186524;S14 Filter 1193336;S14 Filter 1193337;S14 Filter 1205471;S14 Filter 1217312;S14 Filter 1220903;S14 Filter 1221898;S14 Filter 1222373;S14 Filter 1222374;S14 Filter 1223235;S14 Filter 1226810;S14 Filter 797881;S14 Filter 820891;S14 Filter 825483;S14 Filter 847424;S14 Filter 859241;S14 Filter 861062;S14 Filter 891065;S14 Filter 899401;S14 Filter 904894;S14 Filter 904895;S14 Filter 904896;S14 Filter 915902;S14 Filter 924526;S14 Filter 926060;S14 Filter 950205;S14 Filter 966202;S14 Filter 966203;S14 Filter 971763;S14 Filter 981374;S14 Filter 981375;S14 Filter 995694
C1X043;200;3979;6159.0;;6159.0;33.0;;0.68333333;291;6.86;0.1;0.063;0;47.4685;0.92;0.04097661;7.75;3.94;0.37020393;1.0065;;1_before_CP_Dec2022;1_before_PR2583066;1_outine;3.1;3;11;23920.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X040;1200;3873;25316.0;;25316.0;32.0;;0.8;288;6.914;0.1;0.173;0;118.5055;0.88;0.25497114;7.69;3.88;1.09118693;1.0066;0.226;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;2;40090.0;0.0;0.0;0.0;0.0;164.0;86.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X042;1200;6044;11577.0;26854.0;38431.0;35.0;19.0;0.83333333;287;6.985;0.1;0.17;0;124.3885;0.93;0.11057108;7.8;3.88;1.00688439;1.0066;0.141;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;5;61880.0;0.0;0.0;0.0;0.0;0.0;0.0;81.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-1.0;0.0;-1.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X045;600;9662;15485.0;14668.0;30153.0;33.0;31.0;1.21666667;286;6.939;0.2;0.184;0;117.3145;0.9;0.46028881;7.67;3.88;0.86184588;1.0064;0.124;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;11;49460.0;0.0;0.0;0.0;0.0;0.0;0.0;77.0;84.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X044;600;9356;14358.0;14930.0;29288.0;34.0;32.0;0.86666667;285;6.94;0.2;0.181;0;116.243;0.95;0.31003193;7.58;3.87;0.84712096;1.0065;0.125;1_before_CP_Dec2022;1_before_PR2583066;1_outine;3.1;3;9;48020.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;77.0;78.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X046;600;10213;21598.0;4510.0;26108.0;22.0;20.0;0.63333333;292;6.936;0.2;0.198;0;127.079;0.83;0.2670409;7.66;3.98;0.97688857;1.0066;0.134;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.1;2;11;52230.0;0.0;0.0;0.0;0.0;81.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X047;600;10189;27378.0;6800.0;34178.0;21.0;16.0;0.6;294;6.948;0.2;0.191;0;121.7495;0.91;0.47584541;7.78;3.98;0.88884778;1.0067;0.117;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;9;52210.0;0.0;0.0;0.0;0.0;0.0;0.0;102.0;99.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X048;600;10219;25926.0;8496.0;34422.0;18.0;16.0;0.45;290;6.951;0.2;0.182;0;118.5635;1.01;0.4359761;7.78;3.92;0.81773285;1.0065;0.118;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;8;52240.0;0.0;0.0;0.0;0.0;0.0;0.0;87.0;94.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X049;600;10237;23037.0;10471.0;33508.0;22.0;17.0;0.36666667;288;6.959;0.1;0.169;0;116.064;0.88;0.38187125;7.52;3.9;0.8317242;1.0066;0.113;1_before_CP_Dec2022;1_before_PR2583066;1_outine;2.2;2;11;52220.0;0.0;0.0;0.0;0.0;0.0;0.0;90.0;90.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
C1X050;1200;6200;21589.0;19136.0;40725.0;24.0;20.0;1.23333333;289;6.968;0.1;0.153;0;116.842;0.94;0.24514563;7.71;4.03;0.81881051;1.0066;0.102;1_before_CP_Dec2022;1_before_PR2583066;1_outine;3.1;3;4;63430.0;;;;;;;;;;;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;-2.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0;0.0
